,Year,Comprehensive school grades 8 and 9 (%),High school grades 10 and 11 (%),Vocational school (%)
0,2007,12.0,12.0,
1,2009,13.0,12.0,7.0
2,2011,12.5,11.0,6.5
3,2013,12.5,11.5,7.5
4,2015,14.5,14.5,8.0
5,2017,13.5,14.0,7.0
6,2019,15.5,16.0,8.0
7,2021,21.0,20.5,11.5
