Country,Spending
OECD average,89092
Philippines,8474
Indonesia,14717
Jordan,19363
Panama,20422
Moldova,21351
Montenegro,22032
Serbia,24292
Romania,24608
Kazakhstan,24978
Dominican Republic,26481
Ukraine,26647
Thailand,27271
Peru,27339
Bosnia and Herzegovina,28431
Mexico,29015
Colombia,30113
North Macedonia,30220
Bulgaria,31029
Turkey,37559
Brazil,37954
Uruguay,43063
Russia,43728
Argentina,43964
Belarus,47422
Chile,50149
Croatia,52491
Hungary,53002
Lithuania,53133
Malaysia,60899
Greece,62645
Estonia,64315
Latvia,65515
Slovak Republic,66012
Poland,67720
Czech Republic,69143
Israel,79776
Portugal,82452
Malta,83218
New Zealand,84730
Italy,87840
Slovenia,88255
Ireland,89935
Hong Kong (China),91366
France,91850
Canada,96145
Japan,98030
Germany,98557
Chinese Taipei,100758
Netherlands,101581
Australia,107140
Cyprus,104315
Singapore,109060
United Kingdom,110492
Finland,110532
Korea,112608
Belgium,113045
Sweden,113812
Iceland,117121
Brunei Darussalam,118869
United States,121917
Norway,136383
Austria,139675
Macao (China),149234
Luxembourg,208531
Qatar,325968
